Session ID,Capture Timestamp,Relative Time (s),Emotion,Confidence
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.5
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.5
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.6
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.58
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.58
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.53
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.55
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.55
Session_1753410568,2025-07-25 12:27:20,2,neutral,0.4
Session_1753410568,2025-07-25 12:27:20,2,neutral,0.51
Session_1753410568,2025-07-25 12:27:20,2,neutral,0.51
Session_1753410568,2025-07-25 12:27:20,2,neutral,0.51
Session_1753410568,2025-07-25 12:27:20,2,neutral,0.41
Session_1753410568,2025-07-25 12:27:20,2,neutral,0.41
Session_1753410568,2025-07-25 12:27:20,3,neutral,0.48
Session_1753410568,2025-07-25 12:27:20,3,neutral,0.45
Session_1753410568,2025-07-25 12:27:20,3,neutral,0.45
Session_1753410568,2025-07-25 12:27:20,3,angry,0.4
Session_1753410568,2025-07-25 12:27:20,3,neutral,0.59
Session_1753410568,2025-07-25 12:27:20,3,neutral,0.59
Session_1753410568,2025-07-25 12:27:20,3,angry,0.35
Session_1753410568,2025-07-25 12:27:20,3,angry,0.39
Session_1753410568,2025-07-25 12:27:20,3,neutral,0.42
Session_1753410568,2025-07-25 12:27:20,3,neutral,0.44
Session_1753410568,2025-07-25 12:27:21,3,neutral,0.42
Session_1753410568,2025-07-25 12:27:21,3,neutral,0.48
Session_1753410568,2025-07-25 12:27:21,3,neutral,0.62
Session_1753410568,2025-07-25 12:27:21,3,neutral,0.61
Session_1753410568,2025-07-25 12:27:21,3,neutral,0.58
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.57
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.56
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.48
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.54
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.57
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.61
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.64
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.64
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.62
Session_1753410568,2025-07-25 12:27:21,4,neutral,0.54
Session_1753410568,2025-07-25 12:27:22,4,neutral,0.47
Session_1753410568,2025-07-25 12:27:22,4,neutral,0.47
Session_1753410568,2025-07-25 12:27:22,4,neutral,0.57
Session_1753410568,2025-07-25 12:27:22,4,neutral,0.59
Session_1753410568,2025-07-25 12:27:22,4,neutral,0.64
Session_1753410568,2025-07-25 12:27:22,4,neutral,0.64
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.7
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.7
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.62
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.59
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.72
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.45
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.46
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.46
Session_1753410568,2025-07-25 12:27:22,5,neutral,0.58
Session_1753410568,2025-07-25 12:27:23,5,neutral,0.54
Session_1753410568,2025-07-25 12:27:23,5,neutral,0.59
Session_1753410568,2025-07-25 12:27:23,5,neutral,0.62
Session_1753410568,2025-07-25 12:27:23,5,neutral,0.62
Session_1753410568,2025-07-25 12:27:23,5,neutral,0.62
Session_1753410568,2025-07-25 12:27:23,5,neutral,0.51
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.65
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.5
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.57
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.7
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.7
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.67
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.63
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.52
Session_1753410568,2025-07-25 12:27:23,6,neutral,0.57
Session_1753410568,2025-07-25 12:27:24,6,neutral,0.51
Session_1753410568,2025-07-25 12:27:24,6,neutral,0.51
Session_1753410568,2025-07-25 12:27:24,6,neutral,0.54
Session_1753410568,2025-07-25 12:27:24,6,neutral,0.51
Session_1753410568,2025-07-25 12:27:24,6,neutral,0.53
Session_1753410568,2025-07-25 12:27:24,6,neutral,0.48
Session_1753410568,2025-07-25 12:27:24,7,neutral,0.57
Session_1753410568,2025-07-25 12:27:24,7,neutral,0.57
